fir_no,police_station,date,offence_type,detailed_narrative
001/2026,Shivajinagar PS,03-01-2026,Theft,"The informant stated that at about 11:15 AM, while attending class, the complainant kept a mobile phone inside a backpack placed under the desk. After class ended, the bag was checked and the phone was missing. The informant said no one was seen near the bag for a long time, but a classmate noticed an unknown person entering the room during the break. The complainant suspects the phone was stolen sometime between 11:15 AM and 12:00 PM."
002/2026,Kothrud PS,05-01-2026,Road accident,"The complainant stated that at about 8:40 AM, while crossing the road near the signal, a two-wheeler came at high speed and struck the pedestrian from the left side. The victim fell on the road and suffered pain in the leg and shoulder. Local people helped move the injured person aside and called for medical assistance. The rider allegedly stopped briefly, then left the spot after a short argument."
003/2026,Hadapsar PS,08-01-2026,Assault,"The informant stated that a verbal argument took place around 7:30 PM regarding parking near the house. During the dispute, the accused allegedly pushed the complainant and then slapped and punched him when he objected. The informant said nearby residents intervened and separated them. The complainant reported swelling and pain on the face and also alleged that abusive language was used during the incident."
004/2026,Swargate PS,10-01-2026,Chain snatching,"The complainant stated that at about 9:10 PM, while walking home, two unknown persons came on a scooter from behind. One of them allegedly pulled the gold chain from the neck in a sudden motion and both fled in the same direction. The complainant tried to raise an alarm, and nearby shopkeepers came out, but the suspects had already escaped. The direction of escape and clothing description were provided by one witness."
005/2026,Koregaon Park PS,12-01-2026,Fraud,"The informant stated that the accused contacted the complainant through a messaging app and claimed to offer a high-return investment opportunity. Trusting the promise, the complainant transferred money in two installments to the bank account shared by the accused. After the transfer, the accused stopped responding and later blocked the complainant. The informant realized that the promised returns were never credited and believed the money was obtained by deception."
006/2026,Vimannagar PS,15-01-2026,Cybercrime,"The complainant stated that an email was received asking the user to verify an account by clicking a link. After clicking the link and entering credentials, unauthorized access was noticed in the account, and a financial transaction was attempted without consent. The complainant reported that the suspicious email appeared similar to a genuine service message and that the link redirected to a fake page. Screenshots, email headers, and transaction alerts were preserved."
007/2026,Deccan PS,18-01-2026,Burglary,"The informant stated that the house was locked and left unattended from evening until the next morning. On return, the main door lock was found broken and a drawer inside the bedroom had been opened. Cash, jewelry, and a wristwatch were missing from the cupboard. The complainant said no known person had permission to enter the premises, and the neighbor reported hearing noises around midnight but did not check the source."
008/2026,Sinhagad PS,21-01-2026,Intimidation,"The complainant stated that after a dispute over land boundaries, the accused made threatening phone calls in the evening and warned the complainant not to proceed further with the complaint. The caller allegedly used abusive language and threatened physical harm if the matter was reported again. The informant said the calls were received from an unknown number that was later saved for reference. The complainant expressed fear and requested legal protection."
009/2026,Warje PS,24-01-2026,Vehicle theft,"The informant stated that the motorcycle had been parked outside the apartment gate at night with the handle lock engaged. The next morning, the vehicle was not found at the parking spot. Neighbors said they saw two persons near the parking area around 2:00 AM, but no one suspected theft at that time. The complainant provided the registration number, vehicle color, and a copy of the purchase documents."
010/2026,Camp PS,27-01-2026,Public nuisance,"The complainant stated that a group gathered near the road, shouted loudly, and blocked movement of vehicles for an extended period. They allegedly ignored repeated requests to clear the path and continued creating disturbance. Shopkeepers in the area reported inconvenience to customers and traffic delay. The police were informed after the situation escalated and the crowd did not disperse voluntarily."
011/2026,Pimple Saudagar PS,02-02-2026,Harassment,"The informant stated that repeated abusive messages were sent over several days from the same number. The messages contained threats, insulting remarks, and pressure to respond to personal questions. The complainant said the sender had earlier known details about personal routines, which caused concern. Screenshots of the messages and call logs were attached, and the complainant requested action due to continuing harassment."
012/2026,Nigdi PS,05-02-2026,Shop theft,"The shop owner stated that during business hours a customer-like person entered the store and moved near the billing counter. After the person left, the cash box was checked and part of the money was missing. The informant suspected that the theft happened during a brief distraction while another employee attended to a different customer. CCTV footage was available and the complainant requested that it be examined."
013/2026,Aundh PS,08-02-2026,Domestic dispute,"The complainant stated that a domestic argument began over household expenses and quickly escalated into shouting. During the exchange, the spouse allegedly pushed the complainant, causing injury to the arm and shoulder. A neighbor heard the noise and came to the door, after which the situation temporarily calmed down. The informant said the incident was part of a recurring pattern of verbal and physical conflict at home."
014/2026,Yerwada PS,11-02-2026,Trespass,"The informant stated that an unknown person entered the property by climbing a side wall and was found standing near the backyard area. When questioned, the person allegedly refused to leave and claimed to be looking for someone without permission from the occupant. The complainant said the area is privately owned and normally locked at night. CCTV from the entrance captured the entry, and the complainant feared further intrusion."
015/2026,Baner PS,14-02-2026,Workplace fraud,"The complainant stated that a forged invoice was submitted for payment approval, showing a supplier name and service description that were later found to be false. The payment was processed based on the document, but internal verification revealed mismatched GST details and suspicious formatting. The informant said the person who raised the invoice was not authorized to act on behalf of the supplier. The alleged loss amount and document copies were included with the complaint."
016/2026,Wadgaon Sheri PS,17-02-2026,Misbehaviour,"The informant stated that a person entered a public office and began speaking aggressively to the staff over a routine delay. The person allegedly used insulting words, pointed fingers at employees, and refused to calm down despite repeated requests. Other visitors noticed the disturbance, and the staff felt threatened by the behavior. The office security intervened and asked the person to leave, after which the matter was reported."
017/2026,Khadki PS,20-02-2026,Snatching,"The complainant stated that while waiting near the bus stop, a person suddenly came from behind and pulled the bag from the shoulder. The bag contained cash, identification documents, and a mobile charger. The accused allegedly ran toward a parked vehicle and escaped before the complainant could react. A nearby vendor saw the incident and gave a partial description of the suspect’s clothing and direction of movement."
018/2026,Balewadi PS,23-02-2026,Property damage,"The informant stated that after a quarrel over a boundary issue, an individual threw stones at the front gate and broke one windowpane. The complainant said the damage occurred during the night and the sound alerted nearby residents. Later inspection showed scratches on the compound wall and broken glass on the floor. Photographs of the damaged property were taken and an estimate of repair cost was provided."
019/2026,Parvati PS,26-02-2026,Sexual harassment,"The complainant stated that an unknown person had been repeatedly following her near the college and at nearby public places over several days. The person allegedly made uncomfortable remarks, attempted to block the path, and sent unwanted messages after obtaining a phone number. The informant reported feeling unsafe while traveling alone and shared screenshots and witness details. The complaint was made to stop the repeated behavior and ensure safety."
020/2026,Dhanori PS,28-02-2026,Missing person,"The informant stated that the person left home for work in the morning and did not return by evening. Repeated calls to the mobile phone went unanswered, and messages were not delivered. Family members contacted the workplace and nearby friends, but no information was found about the person’s location. The complainant provided recent clothing description, approximate last seen time, phone number, and a recent photograph."